Layer,Name,GEOID,EKW_2024,HBS_2019-2023,HBU_2019-2023,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,FAI_2020,INC_2019-2023
City or town,"Appleton, WI",5502375,8.179274557,7.537265068,20.7323396,66.66234608,1100,13.46228616,34.56454121,0.358710718,957,31.67197185,19.4,211500,12.77714471,77450
City or town,"Bear Creek, WI",5505575,4.186649054,4.347826087,12.17391304,80,755,0,0,0.455195327,850,36.36363636,32.2,98600,12.10176,63750
City or town,"Black Creek, WI",5507725,3.93,2.722323049,27.9491833,75.86206897,963,1.503759398,45.86466165,0.165695296,742,30.90128755,24.8,173800,10.9,63894
City or town,"Brillion, WI",5509725,4.880098329,5.978647687,21.70818505,75.65836299,932,22.22222222,28.3625731,0.045756273,830,26.08069164,21.5,195000,10.5,67122
City or town,"Brothertown, WI",5510325,,2.4,14.4,96.8,688,0,0,0.097436557,,80.43478261,35.4,219500,,56299
City or town,"Butte des Morts, WI",5511500,5.606718085,3.174603175,10.05291005,84.12698413,1307,20,40,0.088130598,1181,4.716981132,19.8,359600,11.7420259,121111
City or town,"Chilton, WI",5514475,5.412286449,5.892648775,14.35239207,70.36172695,733,18.7007874,22.63779528,0.141939734,748,39.85507246,18.2,160100,12.906798,77935
City or town,"Combined Locks, WI",5516500,6.886752999,1.156462585,14.48979592,87.14285714,1042,0,28.57142857,0.226548409,1081,17.36292428,19.1,235800,12.01201668,89310
City or town,"Dale, WI",5518500,4.22,2.362204724,9.842519685,92.51968504,764,0,68.42105263,0.071111592,775,24.21052632,18.9,197400,8.6,80833
City or town,"Eureka, WI",5524475,4.76,4.210526316,28.42105263,70.52631579,1133,0,28.57142857,0.174917339,1119,16.12903226,30.1,143200,10.8,67083
City or town,"Forest Junction, WI",5526575,4.88,9.019607843,16.07843137,80,846,25.49019608,31.37254902,0.196370841,742,34.375,25.8,192300,10.5,81563
City or town,"Fox Crossing, WI",5526982,,7.074027888,25.20122435,61.42160753,1102,11.90126359,32.17749045,0.22439948,961,32.93777135,17.3,228000,11.25976699,74423
City or town,"Harrison, WI",5532790,,9.743040685,20.14989293,90.68522484,1576,24.82758621,53.79310345,0.181367257,1397,30.87038197,20.4,314200,7.621640228,118047
City or town,"Hilbert, WI",5534575,5.9,15.15151515,31.38528139,68.83116883,969,25.69444444,60.41666667,0.362569519,1003,17.0212766,21,154200,8.7,63478
City or town,"Hortonville, WI",5535850,4.189932327,6.637931034,22.4137931,77.67241379,1065,6.94980695,50.57915058,0.16477493,798,23.98042414,24.8,231700,10.9,90446
City or town,"Kaukauna, WI",5538800,7.796181013,8.195329087,18.44302902,72.08775655,1090,15.16227181,31.74442191,0.189898497,988,37.63979946,20.5,198800,11.03909408,78353
City or town,"Kiel, WI",5539525,6.153798464,5.232216343,16.87242798,75.54379777,980,13.46153846,31.73076923,0.130253739,845,30.83573487,19.7,172300,11.1157905,73914
City or town,"Kimberly, WI",5539650,8.407895248,10.64372212,21.38304653,59.46462715,1029,15.9591195,27.20125786,0.214139921,1056,45.23227384,19.5,196900,11.8224428,68295
City or town,"Little Chute, WI",5544950,8.212144033,6.864897226,20.69447216,58.77070445,1162,12.77831559,29.47725073,0.189520246,1141,24.79041916,19.8,223400,12.32748147,79260
City or town,"Menasha, WI",5550825,7.42525023,9.070576541,23.99353877,64.42594433,902,14.98428222,42.57771568,0.347711706,866,36.74770825,20.9,169200,13.80481447,64392
City or town,"Neenah, WI",5555750,7.675563257,8.47127556,24.21881916,66.32734354,1105,17.71819138,42.42902208,0.301821452,970,33.93743793,17.9,194700,13.23954352,73880
City or town,"New Holstein, WI",5556800,5.44,1.346562721,17.43444366,71.15520907,929,4.668304668,24.32432432,0.156492454,736,38.34394904,31,165900,11.2,61086
City or town,"New London, WI",5556925,5.629476451,12.45597182,26.57700929,48.51104707,933,16.54228856,41.85323383,0.21991035,822,44.6332737,25.9,162800,14.1325103,61447
City or town,"Nichols, WI",5557375,4.19,0,27.5,44.16666667,806,0,35.82089552,0.402593033,883,32.55813953,30.1,145300,12.1,56875
City or town,"Omro, WI",5559875,5.59264914,10.08191556,26.52804033,71.95967234,942,15.95505618,35.95505618,0.097324329,882,27.56232687,23.3,170300,11.4,67426
City or town,"Oshkosh, WI",5560500,12.33484584,11.02747599,26.58978828,54.39949572,954,18.33631485,40.32362986,0.311272093,908,37.2539466,17.4,168400,14.22364308,61929
City or town,"Potter, WI",5564675,5.9,2.564102564,9.401709402,87.17948718,872,0,6.666666667,0.182306015,810,27.02702703,19,169000,8.7,64583
City or town,"Seymour, WI",5572725,7.21,6.966292135,18.50187266,68.16479401,1013,10.58823529,22.35294118,0.234163878,918,32.74021352,21.6,167500,10.8,80787
City or town,"Sherwood, WI",5573525,6.32396952,3.865131579,15.78947368,97.12171053,1420,0,60,0.099675258,1208,13.48088531,27,335100,7.6188903,114205
City or town,"Shiocton, WI",5573625,3.93,8.847184987,19.83914209,73.72654155,746,14.28571429,31.63265306,0.091046471,737,60.14492754,26.4,165800,10.9,56146
City or town,"Stockbridge, WI",5577400,5.62,35.36842105,40.63157895,87.15789474,1449,29.50819672,32.78688525,0.047276488,817,24.11575563,31.3,,9.1,57663
City or town,"Waukau, WI",5584200,4.76,0,1.648351648,95.6043956,492,0,0,0.017908985,,65.78947368,30.4,166800,10.8019446,
City or town,"Winchester, WI",5587625,5.010391866,2.996254682,14.23220974,86.51685393,987,0,11.11111111,0.078551836,958,44.91525424,22.2,222900,10.2,86458
City or town,"Winneconne, WI",5587900,5.57,6.442021804,18.43409316,74.23191278,1176,10,25,0.076263588,819,28.11918063,21.1,196900,11.8,85980
City or town,"Wrightstown, WI",5589150,6.637991704,3.44,27.36,80.8,1523,2.916666667,19.16666667,0.215526878,1266,56.52173913,21.6,274800,9.7836125,100769
