"layer","geoid","topic","stratification","period","value"
"Census tract","55139000200","FVDESVYF","","2022-2023",66.6666666666667
"Census tract","55087010300","FVDESVYF","","2022-2023",64.7387591057523
"Census tract","55139000501","FVDESVYF","","2022-2023",60.6376262626263
"Census tract","55087012300","FVDESVYF","","2022-2023",60.3812281336711
"Census tract","55139002900","FVDESVYF","","2022-2023",60.1567782285328
"Census tract","55087010100","FVDESVYF","","2022-2023",59.4874468433104
"Census tract","55139001400","FVDESVYF","","2022-2023",58.84096935769
"Census tract","55087010502","FVDESVYF","","2022-2023",57.7295979062574
"Census tract","55139001100","FVDESVYF","","2022-2023",55.6278935185185
"Census tract","55087011300","FVDESVYF","","2022-2023",55.2950965695884
"Census tract","55139003500","FVDESVYF","","2022-2023",53.1812243610918
"Census tract","55139000100","FVDESVYF","","2022-2023",52.6504379031057
"Census tract","55087011002","FVDESVYF","","2022-2023",52.6004905106158
"Census tract","55139002800","FVDESVYF","","2022-2023",52.2116909581002
"Census tract","55087011104","FVDESVYF","","2022-2023",52.1004180736453
"Census tract","55139001000","FVDESVYF","","2022-2023",51.3041780620825
"Census tract","55087012400","FVDESVYF","","2022-2023",51.2785572635464
"Census tract","55139001803","FVDESVYF","","2022-2023",51.0697881946363
"Census tract","55087011400","FVDESVYF","","2022-2023",50.912558321953
"Census tract","55139003300","FVDESVYF","","2022-2023",50.7435465768799
"Census tract","55139000700","FVDESVYF","","2022-2023",50.6512493354599
"Census tract","55087010800","FVDESVYF","","2022-2023",49.4612563044475
"Census tract","55087011001","FVDESVYF","","2022-2023",49.2197288865343
"Census tract","55087011800","FVDESVYF","","2022-2023",48.4897714220672
"Census tract","55139003100","FVDESVYF","","2022-2023",48.0204484647726
"Census tract","55087012200","FVDESVYF","","2022-2023",47.7387471731668
"Census tract","55139000400","FVDESVYF","","2022-2023",47.4921848555383
"Census tract","55087010501","FVDESVYF","","2022-2023",47.2516166960611
"Census tract","55139003400","FVDESVYF","","2022-2023",47.191599757056
"Census tract","55139000300","FVDESVYF","","2022-2023",47.1530717329235
"Census tract","55139001500","FVDESVYF","","2022-2023",46.2546816479401
"Census tract","55015020303","FVDESVYF","","2022-2023",46.1801622425355
"Census tract","55139000800","FVDESVYF","","2022-2023",46.024424772253
"Census tract","55139001300","FVDESVYF","","2022-2023",45.8578562511147
"Census tract","55015020600","FVDESVYF","","2022-2023",45.4339380883095
"Census tract","55087010200","FVDESVYF","","2022-2023",45.3469548455546
"Census tract","55087010700","FVDESVYF","","2022-2023",45.2864601771728
"Census tract","55139000502","FVDESVYF","","2022-2023",45.0176927479766
"Census tract","55087013100","FVDESVYF","","2022-2023",44.8063531268224
"Census tract","55087012700","FVDESVYF","","2022-2023",44.4895843782392
"Census tract","55087011600","FVDESVYF","","2022-2023",44.4701012588944
"Census tract","55087011502","FVDESVYF","","2022-2023",44.1681268814306
"Census tract","55087013200","FVDESVYF","","2022-2023",43.8572719060524
"Census tract","55015020100","FVDESVYF","","2022-2023",43.6852745801873
"Census tract","55139003200","FVDESVYF","","2022-2023",43.3376736111111
"Census tract","55015020500","FVDESVYF","","2022-2023",43.184421534937
"Census tract","55139003701","FVDESVYF","","2022-2023",43.1267191198107
"Census tract","55139002500","FVDESVYF","","2022-2023",43.0802608924156
"Census tract","55015020400","FVDESVYF","","2022-2023",43.0798632065983
"Census tract","55139001200","FVDESVYF","","2022-2023",42.9304017392648
"Census tract","55087013300","FVDESVYF","","2022-2023",42.9157278943832
"Census tract","55087012902","FVDESVYF","","2022-2023",42.7584300718629
"Census tract","55087012505","FVDESVYF","","2022-2023",42.6884201274445
"Census tract","55087012904","FVDESVYF","","2022-2023",42.6836672738312
"Census tract","55087011901","FVDESVYF","","2022-2023",42.5194660734149
"Census tract","55139002300","FVDESVYF","","2022-2023",42.3875545140923
"Census tract","55139003704","FVDESVYF","","2022-2023",42.3515120046095
"Census tract","55087010601","FVDESVYF","","2022-2023",42.3361932028655
"Census tract","55139002601","FVDESVYF","","2022-2023",42.2720797720798
"Census tract","55139003600","FVDESVYF","","2022-2023",42.235609103079
"Census tract","55139002001","FVDESVYF","","2022-2023",42.2120572366878
"Census tract","55087012506","FVDESVYF","","2022-2023",41.9295354676711
"Census tract","55087012101","FVDESVYF","","2022-2023",41.8737851703151
"Census tract","55015020200","FVDESVYF","","2022-2023",41.782406156797
"Census tract","55087011501","FVDESVYF","","2022-2023",41.6954519286125
"Census tract","55139002602","FVDESVYF","","2022-2023",40.9220777855951
"Census tract","55139003000","FVDESVYF","","2022-2023",40.8459595959596
"Census tract","55087011700","FVDESVYF","","2022-2023",40.6234206916468
"Census tract","55139002100","FVDESVYF","","2022-2023",40.3057419835943
"Census tract","55139002002","FVDESVYF","","2022-2023",40.2345978437141
"Census tract","55139002700","FVDESVYF","","2022-2023",40.1988712088516
"Census tract","55087012603","FVDESVYF","","2022-2023",40.1636889029848
"Census tract","55139002201","FVDESVYF","","2022-2023",40.1428689575322
"Census tract","55087010900","FVDESVYF","","2022-2023",39.8716405936623
"Census tract","55139002401","FVDESVYF","","2022-2023",39.7673821099648
"Census tract","55087011902","FVDESVYF","","2022-2023",39.6936895439889
"Census tract","55139000900","FVDESVYF","","2022-2023",39.4894894894895
"Census tract","55087011200","FVDESVYF","","2022-2023",39.4826552783397
"Census tract","55015020304","FVDESVYF","","2022-2023",39.4275872178247
"Census tract","55015020800","FVDESVYF","","2022-2023",39.4263931588851
"Census tract","55087940000","FVDESVYF","","2022-2023",39.1990226088824
"Census tract","55087012903","FVDESVYF","","2022-2023",39.0646175474296
"Census tract","55015020700","FVDESVYF","","2022-2023",38.8708081154124
"Census tract","55139002202","FVDESVYF","","2022-2023",38.6249371543489
"Census tract","55087012102","FVDESVYF","","2022-2023",38.4435114842952
"Census tract","55087012504","FVDESVYF","","2022-2023",38.3868808567604
"Census tract","55087012800","FVDESVYF","","2022-2023",38.3850658025639
"Census tract","55087012602","FVDESVYF","","2022-2023",38.2819873900404
"Census tract","55139001600","FVDESVYF","","2022-2023",38.1399202001758
"Census tract","55139001801","FVDESVYF","","2022-2023",38.0321595540554
"Census tract","55087011103","FVDESVYF","","2022-2023",38.0284728213978
"Census tract","55139001700","FVDESVYF","","2022-2023",37.3452544704264
"Census tract","55015020306","FVDESVYF","","2022-2023",36.941755815928
"Census tract","55139001900","FVDESVYF","","2022-2023",36.5917236884979
"Census tract","55087011101","FVDESVYF","","2022-2023",35.1296266625523
"Census tract","55087012000","FVDESVYF","","2022-2023",34.047902762732
"Census tract","55139003703","FVDESVYF","","2022-2023",33.9098073555166
"Census tract","55087010602","FVDESVYF","","2022-2023",33.7533602150538
"Census tract","55015020308","FVDESVYF","","2022-2023",33.3333333333333
"Census tract","55087012503","FVDESVYF","","2022-2023",33.3333333333333
"Census tract","55087012604","FVDESVYF","","2022-2023",33.3333333333333
"Census tract","55139001804","FVDESVYF","","2022-2023",33.3333333333333
"Census tract","55139002402","FVDESVYF","","2022-2023",33.3333333333333
"City or town","5556925","FVDESVYF","","2022-2023",54.2844551397462
"City or town","5560500","FVDESVYF","","2022-2023",53.3896599958454
"City or town","5539650","FVDESVYF","","2022-2023",49.1057764434108
"City or town","5502375","FVDESVYF","","2022-2023",47.6455469060082
"City or town","5550825","FVDESVYF","","2022-2023",47.4835536591843
"City or town","5555750","FVDESVYF","","2022-2023",47.481585642716
"City or town","5505575","FVDESVYF","","2022-2023",47
"City or town","5577400","FVDESVYF","","2022-2023",46.7270326353518
"City or town","5539525","FVDESVYF","","2022-2023",46.1142246912404
"City or town","5589150","FVDESVYF","","2022-2023",46.1024110695409
"City or town","5572725","FVDESVYF","","2022-2023",45.9431889516635
"City or town","5509725","FVDESVYF","","2022-2023",45.7497220872906
"City or town","5538800","FVDESVYF","","2022-2023",45.6708005426537
"City or town","5534575","FVDESVYF","","2022-2023",43.8809985042862
"City or town","5514475","FVDESVYF","","2022-2023",43.6887707379511
"City or town","5556800","FVDESVYF","","2022-2023",43.3549634334617
"City or town","5518500","FVDESVYF","","2022-2023",42.4400252525253
"City or town","5559875","FVDESVYF","","2022-2023",42.2173602482904
"City or town","5573625","FVDESVYF","","2022-2023",41.6947250280584
"City or town","5511500","FVDESVYF","","2022-2023",41.307634164777
"City or town","5544950","FVDESVYF","","2022-2023",41.2660987729439
"City or town","5587900","FVDESVYF","","2022-2023",40.7079568832129
"City or town","5507725","FVDESVYF","","2022-2023",40.5132945941187
"City or town","5587625","FVDESVYF","","2022-2023",38.9264264264264
"City or town","5535850","FVDESVYF","","2022-2023",38.7852654098141
"City or town","5526575","FVDESVYF","","2022-2023",38.2154882154882
"City or town","5524475","FVDESVYF","","2022-2023",38.1996658312448
"City or town","5564675","FVDESVYF","","2022-2023",37.9385964912281
"City or town","5516500","FVDESVYF","","2022-2023",35.5729328768544
"City or town","5557375","FVDESVYF","","2022-2023",33.3333333333333
"City or town","5573525","FVDESVYF","","2022-2023",33.3333333333333
"City or town","5584200","FVDESVYF","","2022-2023",33.3333333333333
"City or town","5526982","FVDESVYF","","2022-2023",26.6390133816471
"City or town","5532790","FVDESVYF","","2022-2023",25.369632580788
"City or town","5510325","FVDESVYF","","2022-2023",20
"County","55139","FVDESVYF","","2022-2023",46.977425221714
"County","55087","FVDESVYF","","2022-2023",43.9666376612118
"County","55015","FVDESVYF","","2022-2023",40.9671212067025
"Zip code","54985","FVDESVYF","","2022-2023",66.6666666666667
"Zip code","53088","FVDESVYF","","2022-2023",59.7056878306878
"Zip code","54911","FVDESVYF","","2022-2023",55.8330211363785
"Zip code","54901","FVDESVYF","","2022-2023",55.3309055581902
"Zip code","54929","FVDESVYF","","2022-2023",53.0435204609232
"Zip code","54923","FVDESVYF","","2022-2023",49.8335803926001
"Zip code","54902","FVDESVYF","","2022-2023",49.4208447511353
"Zip code","54136","FVDESVYF","","2022-2023",48.9621732005132
"Zip code","54107","FVDESVYF","","2022-2023",48.1690508620902
"Zip code","54961","FVDESVYF","","2022-2023",47.1407098673117
"Zip code","54180","FVDESVYF","","2022-2023",45.9999421748056
"Zip code","54922","FVDESVYF","","2022-2023",45.9765528387947
"Zip code","54971","FVDESVYF","","2022-2023",45.8744660733141
"Zip code","53042","FVDESVYF","","2022-2023",45.1864836560763
"Zip code","53061","FVDESVYF","","2022-2023",45.1606763754317
"Zip code","54952","FVDESVYF","","2022-2023",45.0448079997587
"Zip code","54130","FVDESVYF","","2022-2023",44.5800284836465
"Zip code","54165","FVDESVYF","","2022-2023",44.075204843171
"Zip code","54956","FVDESVYF","","2022-2023",43.537416325801
"Zip code","54914","FVDESVYF","","2022-2023",43.41674666125
"Zip code","54110","FVDESVYF","","2022-2023",43.1602733686067
"Zip code","53014","FVDESVYF","","2022-2023",42.9719035479074
"Zip code","54140","FVDESVYF","","2022-2023",42.724573125464
"Zip code","54129","FVDESVYF","","2022-2023",42.1830484330484
"Zip code","54123","FVDESVYF","","2022-2023",42.0217209690894
"Zip code","54115","FVDESVYF","","2022-2023",41.8032550116781
"Zip code","54964","FVDESVYF","","2022-2023",41.7824074074074
"Zip code","53020","FVDESVYF","","2022-2023",41.5103344169335
"Zip code","54913","FVDESVYF","","2022-2023",41.3627758680815
"Zip code","54904","FVDESVYF","","2022-2023",41.3337900935962
"Zip code","54106","FVDESVYF","","2022-2023",41.3129421556388
"Zip code","54915","FVDESVYF","","2022-2023",41.303460698404
"Zip code","54927","FVDESVYF","","2022-2023",41.1071143085532
"Zip code","53049","FVDESVYF","","2022-2023",41.0528956801599
"Zip code","54963","FVDESVYF","","2022-2023",40.5938487721858
"Zip code","54170","FVDESVYF","","2022-2023",40.0023946360153
"Zip code","54947","FVDESVYF","","2022-2023",39.4434923355232
"Zip code","54986","FVDESVYF","","2022-2023",39.1214084039196
"Zip code","54944","FVDESVYF","","2022-2023",38.479015853686
"Zip code","54940","FVDESVYF","","2022-2023",38.4432006633499
"Zip code","54942","FVDESVYF","","2022-2023",38.2382590681242
"Zip code","54160","FVDESVYF","","2022-2023",37.9385964912281
"Zip code","54979","FVDESVYF","","2022-2023",37.1385083713851
"Zip code","54155","FVDESVYF","","2022-2023",36.5475272135082
"Zip code","54313","FVDESVYF","","2022-2023",36.2023621670731
"Zip code","54113","FVDESVYF","","2022-2023",35.5729328768544
"Zip code","54152","FVDESVYF","","2022-2023",33.3333333333333
"Zip code","54169","FVDESVYF","","2022-2023",33.3333333333333
"Zip code","54931","FVDESVYF","","2022-2023",33.3333333333333
"Zip code","54980","FVDESVYF","","2022-2023",33.3333333333333
"County","55139","FVDESVYF","","2022-2023",46.977425221714
"County","55087","FVDESVYF","","2022-2023",43.9666376612118
"Region counties","fox-valley","FVDESVYF","","2022-2023",42.3891001996915
"County","55015","FVDESVYF","","2022-2023",40.9671212067025
